Nama ,Jenis Kelamin,Usia,Jenjang Pendidikan,1. Saya menonton TikTok setiap hari.  ,2. Saya tidak bisa mengontrol waktu yang saya habiskan di TikTok.,3. Saya sering menonton TikTok dalam waktu lama tanpa sadar.  ,4. Saya membuka Tiktok lebih dari sekali dalam sehari,5. Saya lebih memilih TikTok karena konten yang bervariasi,6. Saya suka dengan konten di Tiktok karena durasi pendek dan visual menarik,7.  Saya merasa sulit memahami materi yang memiliki banyak informasi kompleks.  ,8. Saya sering membuka TikTok saat belajar. ,9. Saya mengalami kesulitan untuk kembali belajar setelah menonton TikTok. ,10. Saya merasa cepat lelah saat memproses informasi baru.,11. Saya sering kewalahan ketika harus membaca teks panjang.,12. Saya merasa butuh waktu ekstra untuk memahami pelajaran.,13. Saya sulit fokus saat memulai sesi belajar.  ,14. Saya sering susah fokus jika belajar dalam waktu lama. ,15. Saya sering berhenti mengerjakan tugas untuk membuka TikTok. ,16. Saya perlu waktu lama untuk kembali fokus belajar setelah terdistraksi oleh Tiktok. ,17. Saya sulit mempertahankan perhatian saat membaca materi.,18. Saya suka mencari ringkasan materi karena malas membaca text yang panjang.,19. Saya mudah memahami materi pembelajaran.  ,20. Saya mudah mengingat materi yang telah saya pelajarin.,21. Saya selalu menyelesaikan tugas akademik sebelum melakukan aktivitas lain. ,22. Saya merasa hasil akademik saya memuaskan. ,23. Saya memahami apa yang saya pelajari dari tugas yang diberikan.,24. Saya mampu mengelola waktu belajar dengan baik.,25. Saya rutin mempersiapkan diri untuk ujian/kuis.
AL,Laki-laki,21,Mahasiswa,3,1,3,3,3,4,3,4,2,1,2,2,1,2,2,1,2,4,4,3,3,4,3,3,3
A,Perempuan,19,Mahasiswa,3,3,3,4,4,3,4,3,4,3,4,3,2,3,3,3,4,3,2,3,2,2,3,2,4
AA,Laki-laki,18,SMA/SMK,4,2,2,3,4,4,1,4,2,1,2,3,2,2,1,1,2,2,4,3,3,4,3,3,4
AA,Laki-laki,20,Mahasiswa,4,3,4,3,3,4,2,3,1,2,1,3,2,2,1,2,2,1,4,3,3,4,3,3,4
FA  ,Perempuan,21,Mahasiswa,4,2,2,2,4,4,2,3,2,1,2,4,2,2,1,2,1,2,4,3,3,4,4,3,4
SW  ,Laki-laki,18,SMA/SMK,4,1,1,3,4,4,2,3,2,2,1,3,2,1,2,1,1,2,4,3,4,4,3,3,3
NI  ,Perempuan,21,Mahasiswa,4,2,1,4,3,3,1,3,1,2,1,2,2,1,2,2,1,3,3,3,4,4,3,4,4
AA  ,Laki-laki,20,Mahasiswa,4,2,3,3,3,4,1,1,2,1,2,3,2,2,1,2,1,4,4,3,3,4,3,3,4
PS  ,Laki-laki,21,Mahasiswa,4,2,3,3,4,4,1,2,2,1,1,3,1,2,1,1,2,2,4,3,3,3,4,3,3
NA  ,Perempuan,22,Mahasiswa,3,3,2,4,3,4,1,3,1,2,1,4,1,2,1,2,2,4,4,3,4,3,3,3,3
DL  ,Perempuan,18,SMA/SMK,4,2,3,4,3,3,2,3,2,1,2,2,1,2,1,1,2,3,4,3,3,3,4,4,3
DB  ,Laki-laki,19,SMA/SMK,3,2,3,4,3,3,1,3,2,1,1,2,2,1,2,3,2,3,4,3,3,4,3,4,4
